"HGNC","logFC","logCPM","F","PValue","FDR"
"",-0.266742380889682,6.08958392996379,0.425603310601181,0.517275288722204,0.618309771247898
"A2M",-0.732088050275975,5.71931691749486,3.71797861390571,0.0594639361631499,0.125816936149315
"A2ML1",-1.65144618245861,4.79506902069211,7.97835122046779,0.00595963755047924,0.0222083881316775
"A4GALT",-0.865569140193664,5.49052792953832,3.84906707603958,0.0549865266160426,0.118973566388295
"AAAS",-0.701352880563363,4.92790837051737,4.01623200412937,0.0488758669771588,0.108723280439629
"AACS",-0.890471658092769,4.99284617958093,6.34788475204372,0.0141065995051476,0.0428439441086245
"AADACL2",-0.235061290906179,5.05339219852925,0.127600174165873,0.722084435354821,0.788116985307514
"AADAT",-1.43894739759484,4.48549022401369,8.98487719101676,0.00347145525112926,0.0146348888507323
"AAGAB",-0.178462319871659,5.34648872583102,0.18792526608736,0.666304767859972,0.74316718539449
"AAK1",-0.914883092913553,5.74996621859296,5.97895977288616,0.0180300136082646,0.051201852729423
"AAMDC",-1.41118755159784,4.39485104594441,9.92762694082914,0.00220079016785463,0.0102482310844323
"AAMP",-0.593483057865132,5.7037172032399,2.8032598686697,0.100245339590474,0.184332105468798
"AAR2",-1.06435835784971,4.93511845900448,7.56181625878933,0.00755412140671222,0.0265720920940456
"AARS1",-0.193634123067189,5.7382916363693,0.2480720674994,0.620605687827174,0.705624000851318
"AARS2",-0.930414799199991,5.15306587383151,4.41278294947029,0.0397676635867131,0.0934524644535005
"AARSD1",-0.504354245820962,4.40655097301751,1.36786782138996,0.245121650587498,0.355118758400474
"AASDH",-0.927671227204869,4.84115345361553,5.20963602412324,0.0252475810262411,0.0664113897703556
"AASDHPPT",-0.33052417103915,5.19103874734841,0.481061528547587,0.490604379199475,0.594369445782284
"AASS",-0.968389948530587,4.73988767958097,4.74717261647039,0.0321820586440019,0.0797929317616982
"AATBC",-3.68519543708058,4.39962627618503,80.7107838155333,7.7690632238246e-13,7.34273587941722e-10
"AATF",0.0399291862646547,5.0931670391405,0.00710906383125353,0.933068652463462,0.952725466748986
